,Degree Centrality,Weighted Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank
Ariana Dumbledore,0.050314465408805034,254,0.0011696832947849078,0.45268281545135647,0.0363594295879487,0.001474414480406277
Cormac McLaggen,0.07966457023060797,269,0.00178758750023577,0.4670170006188662,0.05775377046925435,0.0014958965243422326
Olympe Maxime,0.05870020964360587,368,0.00015396702069402803,0.463231655122462,0.05710402513746693,0.0015132320229354697
Crookshanks,0.04821802935010482,324,0.00010728501281357854,0.4549349687620597,0.04920418434050548,0.0012834028842986333
Xenophilius Lovegood,0.03773584905660378,321,0.0002787435443227171,0.4522350579682196,0.03458354158736466,0.0014474616457469391
Colin Creevey,0.0859538784067086,216,0.003138169303214803,0.47526989979820167,0.07497159859264305,0.0012179993166196907
Fat Lady,0.06289308176100629,200,0.0003627152627766563,0.4660648762547095,0.059800798565760475,0.0010192093802382182
Katie Bell,0.10062893081761007,408,0.001010125851901436,0.4757644574462747,0.08009353630891948,0.0019099539011922248
Borgin,0.03563941299790357,212,0.00013721587265795726,0.4495670045288791,0.03401851479605774,0.0009922912157695409
Parvati Patil,0.08176100628930819,366,0.002650087856262206,0.4718365775086378,0.0686677137214735,0.0016691039939713843
James Potter I,0.06498951781970651,504,0.0012224081735382997,0.47281245460793175,0.06005142430323227,0.0020371834328537855
Regulus Black,0.031446540880503145,232,3.5953500674234595e-05,0.4495670045288791,0.031203707316947563,0.001204958704047904
Fawkes,0.03773584905660378,156,0.00012456379157336272,0.4549349687620597,0.037570408719190374,0.0008178790423380818
Rolanda Hooch,0.06708595387840671,257,0.0002760648664457546,0.46464394675393295,0.05869816733097436,0.001173911205024772
Fenrir Greyback,0.07966457023060797,234,0.0006650658775698361,0.4694144184865195,0.06390726763669032,0.0011934528538148264
Sorting Hat,0.05660377358490566,212,0.014389558576288965,0.4637014641033164,0.048586769932999006,0.001704377263535539
Filius Flitwick,0.11111111111111112,446,0.004874829120994758,0.4889942712362246,0.09120030321503153,0.0020543714805546583
Kingsley Shacklebolt,0.10482180293501049,326,0.0012658826613854309,0.4874303236736354,0.08814950114635949,0.001456253119417898
Marietta Edgecombe,0.029350104821802937,196,3.3642751781430396e-05,0.45000949173806104,0.028907671427995787,0.0009199485854117647
Helga Hufflepuff,0.10482180293501049,333,0.00616910613559441,0.478753553514,0.08332065867934299,0.002076695931471694
Rowena Ravenclaw,0.09853249475890986,321,0.0032623429161535034,0.4757644574462747,0.07847118955433051,0.001839159351555005
Charles Weasley,0.052410901467505246,344,0.004223500552060927,0.46511662625215666,0.054512337693462046,0.001632364859150391
Mykew Gregorovitch,0.023060796645702306,140,4.411861482117338e-05,0.4447564626516245,0.023134209170078225,0.0007530187743914963
Pigwidgeon,0.04821802935010482,188,0.00025878593677869973,0.45268281545135647,0.04237658034105209,0.0009365172090469298
Arabella Figg,0.020964360587002098,136,1.4358022485610876e-05,0.442603720818848,0.022690814633983165,0.0007631491384815739
Ernest Macmillan,0.07547169811320756,246,0.0014784322722337462,0.4637014641033164,0.05810564502576961,0.0015788183372327403
Lee Jordan,0.08385744234800839,285,0.0005771865344247434,0.4718365775086378,0.06898467496906792,0.0012906338132711523
Mrs Norris,0.041928721174004195,210,1.9145998090099048e-05,0.4581258953966634,0.04788643209513189,0.0009441856131590147
Grawp,0.029350104821802937,166,9.873112622271158e-05,0.4495670045288791,0.028592962408427014,0.000824399448153393
Gellert Grindelwald,0.041928721174004195,206,0.00023997489283121519,0.4549349687620597,0.033374372610998196,0.0011311872888362037
Amos Diggory,0.033542976939203356,137,0.0004175962675728148,0.44780572341417235,0.029335806653159324,0.0008667363550428971
Cole,0.010482180293501049,94,0.0003486098289718779,0.4350234477696194,0.013210344785846954,0.0007222155468135997
Hepzibah Smith,0.016771488469601678,112,2.2452922836059696e-05,0.4362687438987309,0.013113066341026132,0.0009499721807609776
Justin Finch-Fletchley,0.06289308176100629,115,0.00025900824687900517,0.462294887366906,0.05398653464320959,0.0007945061149881075
Pansy Parkinson,0.06708595387840671,246,0.0012404989438431708,0.46893296780089233,0.06219191461661611,0.00118286555299331
Eileen Prince,0.029350104821802937,114,0.00022071704394531984,0.4522350579682196,0.029149759384612704,0.0007536885933075095
Cassandra Trelawney,0.01886792452830189,73,3.4741654494375124e-05,0.44693024790407626,0.023383247540839654,0.0005496903272138214
Firenze,0.03563941299790357,205,3.0949145762416986e-05,0.4522350579682196,0.0381690295630617,0.0009514270577320398
